index	image_idx	cell_idx	row	col	shape	color
92	10	2	0	2	square	green
93	10	3	1	0	none	none
94	10	4	1	1	square	red
95	10	5	1	2	square	green
96	10	6	2	0	triangle	red
97	10	7	2	1	square	blue
98	10	8	2	2	none	none
99	11	0	0	0	square	green
100	11	1	0	1	square	blue
101	11	2	0	2	square	red
102	11	3	1	0	triangle	green
103	11	4	1	1	square	red
104	11	5	1	2	square	red
105	11	6	2	0	circle	blue
106	11	7	2	1	square	red
107	11	8	2	2	circle	green
108	12	0	0	0	none	none
109	12	1	0	1	circle	red
110	12	2	0	2	none	none
111	12	3	1	0	square	blue
112	12	4	1	1	none	none
113	12	5	1	2	square	blue
114	12	6	2	0	square	green
115	12	7	2	1	square	green
116	12	8	2	2	triangle	green
117	13	0	0	0	square	red
118	13	1	0	1	none	none
119	13	2	0	2	square	green
120	13	3	1	0	square	blue
121	13	4	1	1	circle	blue
122	13	5	1	2	square	green
123	13	6	2	0	square	green
124	13	7	2	1	none	none
125	13	8	2	2	none	none
126	14	0	0	0	square	green
127	14	1	0	1	square	green
128	14	2	0	2	square	blue
129	14	3	1	0	circle	green
130	14	4	1	1	triangle	red
131	14	5	1	2	square	blue
132	14	6	2	0	square	red
133	14	7	2	1	triangle	green
134	14	8	2	2	triangle	red
135	15	0	0	0	none	none
136	15	1	0	1	square	blue
137	15	2	0	2	square	blue
138	15	3	1	0	square	blue
139	15	4	1	1	square	blue
140	15	5	1	2	square	green
141	15	6	2	0	circle	blue
142	15	7	2	1	circle	red
143	15	8	2	2	triangle	red
144	16	0	0	0	none	none
145	16	1	0	1	square	red
146	16	2	0	2	triangle	red
147	16	3	1	0	square	green
148	16	4	1	1	square	red
149	16	5	1	2	square	blue
150	16	6	2	0	circle	blue
151	16	7	2	1	none	none
152	16	8	2	2	none	none
153	17	0	0	0	square	red
154	17	1	0	1	none	none
155	17	2	0	2	triangle	green
156	17	3	1	0	triangle	blue
157	17	4	1	1	triangle	red
158	17	5	1	2	none	none
159	17	6	2	0	circle	green
160	17	7	2	1	circle	blue
161	17	8	2	2	square	blue
162	18	0	0	0	square	red
163	18	1	0	1	square	blue
164	18	2	0	2	square	red
165	18	3	1	0	circle	blue
166	18	4	1	1	square	red
167	18	5	1	2	none	none
168	18	6	2	0	square	blue
169	18	7	2	1	circle	red
170	18	8	2	2	square	green
171	19	0	0	0	none	none
172	19	1	0	1	square	blue
173	19	2	0	2	square	green
174	19	3	1	0	none	none
175	19	4	1	1	square	blue
176	19	5	1	2	circle	green
177	19	6	2	0	square	blue
178	19	7	2	1	square	green
179	19	8	2	2	square	blue
180	20	0	0	0	square	red
181	20	1	0	1	none	none
182	20	2	0	2	square	blue
183	20	3	1	0	square	green
184	20	4	1	1	none	none
185	20	5	1	2	square	blue
186	20	6	2	0	circle	blue
187	20	7	2	1	triangle	green
188	20	8	2	2	square	blue
189	21	0	0	0	square	blue
190	21	1	0	1	circle	green
191	21	2	0	2	square	blue
192	21	3	1	0	square	blue
193	21	4	1	1	square	red
194	21	5	1	2	triangle	red
195	21	6	2	0	square	red
196	21	7	2	1	triangle	green
197	21	8	2	2	none	none
198	22	0	0	0	triangle	green
199	22	1	0	1	square	red
200	22	2	0	2	square	green
201	22	3	1	0	triangle	green
202	22	4	1	1	square	green
203	22	5	1	2	square	red
204	22	6	2	0	circle	blue
205	22	7	2	1	none	none
206	22	8	2	2	none	none
207	23	0	0	0	square	blue
208	23	1	0	1	square	green
209	23	2	0	2	circle	green
210	23	3	1	0	square	blue
211	23	4	1	1	square	blue
212	23	5	1	2	square	blue
213	23	6	2	0	triangle	green
214	23	7	2	1	square	red
215	23	8	2	2	square	red
216	24	0	0	0	triangle	red
217	24	1	0	1	square	red
218	24	2	0	2	square	green
219	24	3	1	0	triangle	green
220	24	4	1	1	square	green
221	24	5	1	2	square	green
222	24	6	2	0	none	none
223	24	7	2	1	triangle	red
224	24	8	2	2	square	blue
225	25	0	0	0	none	none
226	25	1	0	1	circle	blue
227	25	2	0	2	square	red
228	25	3	1	0	square	red
229	25	4	1	1	square	red
230	25	5	1	2	square	green
231	25	6	2	0	none	none
232	25	7	2	1	square	green
233	25	8	2	2	circle	red
234	26	0	0	0	triangle	green
235	26	1	0	1	triangle	green
236	26	2	0	2	triangle	red
237	26	3	1	0	none	none
238	26	4	1	1	square	green
239	26	5	1	2	none	none
240	26	6	2	0	square	green
241	26	7	2	1	square	blue
242	26	8	2	2	none	none
243	27	0	0	0	circle	blue
244	27	1	0	1	square	blue
245	27	2	0	2	circle	green
246	27	3	1	0	circle	blue
247	27	4	1	1	square	blue
248	27	5	1	2	square	blue
249	27	6	2	0	triangle	red
250	27	7	2	1	circle	blue
251	27	8	2	2	none	none
252	28	0	0	0	none	none
253	28	1	0	1	square	green
254	28	2	0	2	triangle	green
255	28	3	1	0	circle	green
256	28	4	1	1	square	blue
257	28	5	1	2	square	blue
258	28	6	2	0	square	blue
259	28	7	2	1	circle	blue
260	28	8	2	2	square	red
261	29	0	0	0	circle	green
262	29	1	0	1	square	green
263	29	2	0	2	square	blue
264	29	3	1	0	none	none
265	29	4	1	1	square	red
266	29	5	1	2	square	blue
267	29	6	2	0	circle	red
268	29	7	2	1	square	green
269	29	8	2	2	square	blue
270	30	0	0	0	square	blue
271	30	1	0	1	square	blue
272	30	2	0	2	square	red
273	30	3	1	0	none	none
274	30	4	1	1	none	none
275	30	5	1	2	square	red
276	30	6	2	0	square	green
277	30	7	2	1	square	blue
278	30	8	2	2	none	none
279	31	0	0	0	circle	green
280	31	1	0	1	circle	blue
281	31	2	0	2	circle	green
282	31	3	1	0	square	green
283	31	4	1	1	square	green
284	31	5	1	2	none	none
285	31	6	2	0	square	blue
286	31	7	2	1	circle	red
287	31	8	2	2	none	none
288	32	0	0	0	square	green
289	32	1	0	1	none	none
290	32	2	0	2	square	red
291	32	3	1	0	square	red
292	32	4	1	1	square	red
293	32	5	1	2	square	green
294	32	6	2	0	square	red
295	32	7	2	1	square	green
296	32	8	2	2	square	green
297	33	0	0	0	square	red
298	33	1	0	1	triangle	red
299	33	2	0	2	square	blue
300	33	3	1	0	square	green
301	33	4	1	1	square	red
302	33	5	1	2	square	blue
303	33	6	2	0	square	red
304	33	7	2	1	circle	red
305	33	8	2	2	square	red
306	34	0	0	0	triangle	green
307	34	1	0	1	none	none
308	34	2	0	2	square	blue
309	34	3	1	0	square	blue
310	34	4	1	1	square	blue
311	34	5	1	2	none	none
312	34	6	2	0	none	none
313	34	7	2	1	square	blue
314	34	8	2	2	none	none
315	35	0	0	0	square	green
316	35	1	0	1	triangle	red
317	35	2	0	2	circle	green
318	35	3	1	0	circle	green
319	35	4	1	1	triangle	red
320	35	5	1	2	triangle	green
321	35	6	2	0	none	none
322	35	7	2	1	triangle	green
323	35	8	2	2	circle	red
324	36	0	0	0	square	blue
325	36	1	0	1	square	blue
326	36	2	0	2	circle	red
327	36	3	1	0	none	none
328	36	4	1	1	none	none
329	36	5	1	2	square	green
330	36	6	2	0	square	red
331	36	7	2	1	circle	red
332	36	8	2	2	square	green
333	37	0	0	0	square	red
334	37	1	0	1	square	green
335	37	2	0	2	circle	green
336	37	3	1	0	none	none
337	37	4	1	1	square	blue
338	37	5	1	2	square	green
339	37	6	2	0	square	blue
340	37	7	2	1	triangle	blue
341	37	8	2	2	none	none
342	38	0	0	0	circle	green
343	38	1	0	1	triangle	green
344	38	2	0	2	circle	red
345	38	3	1	0	triangle	green
346	38	4	1	1	square	green
347	38	5	1	2	square	blue
348	38	6	2	0	none	none
349	38	7	2	1	none	none
350	38	8	2	2	square	red
351	39	0	0	0	square	green
352	39	1	0	1	none	none
353	39	2	0	2	square	green
354	39	3	1	0	triangle	green
355	39	4	1	1	none	none
356	39	5	1	2	circle	blue
357	39	6	2	0	circle	green
358	39	7	2	1	triangle	blue
359	39	8	2	2	triangle	green
360	40	0	0	0	circle	red
361	40	1	0	1	triangle	blue
362	40	2	0	2	none	none
363	40	3	1	0	square	green
364	40	4	1	1	square	red
365	40	5	1	2	square	red
366	40	6	2	0	square	green
367	40	7	2	1	circle	green
368	40	8	2	2	none	none
369	41	0	0	0	triangle	green
370	41	1	0	1	none	none
371	41	2	0	2	none	none
372	41	3	1	0	square	green
373	41	4	1	1	square	blue
374	41	5	1	2	triangle	green
375	41	6	2	0	circle	green
376	41	7	2	1	circle	blue
377	41	8	2	2	none	none
378	42	0	0	0	none	none
379	42	1	0	1	triangle	green
380	42	2	0	2	square	red
381	42	3	1	0	triangle	red
382	42	4	1	1	square	green
383	42	5	1	2	square	blue
384	42	6	2	0	square	blue
385	42	7	2	1	circle	green
386	42	8	2	2	square	blue
387	43	0	0	0	square	blue
388	43	1	0	1	square	blue
389	43	2	0	2	square	blue
390	43	3	1	0	square	red
391	43	4	1	1	circle	blue
392	43	5	1	2	triangle	blue
393	43	6	2	0	triangle	green
394	43	7	2	1	triangle	blue
395	43	8	2	2	square	green
396	44	0	0	0	triangle	green
397	44	1	0	1	none	none
398	44	2	0	2	square	blue
399	44	3	1	0	none	none
400	44	4	1	1	none	none
401	44	5	1	2	square	green
402	44	6	2	0	square	green
403	44	7	2	1	square	blue
404	44	8	2	2	square	red
405	45	0	0	0	square	blue
406	45	1	0	1	circle	red
407	45	2	0	2	none	none
408	45	3	1	0	circle	blue
409	45	4	1	1	square	red
410	45	5	1	2	square	green
411	45	6	2	0	circle	red
412	45	7	2	1	none	none
413	45	8	2	2	triangle	blue
414	46	0	0	0	square	green
415	46	1	0	1	triangle	blue
416	46	2	0	2	none	none
417	46	3	1	0	square	red
418	46	4	1	1	square	red
419	46	5	1	2	triangle	green
420	46	6	2	0	square	green
421	46	7	2	1	none	none
422	46	8	2	2	none	none
423	47	0	0	0	circle	red
424	47	1	0	1	square	red
425	47	2	0	2	none	none
426	47	3	1	0	none	none
427	47	4	1	1	triangle	red
428	47	5	1	2	square	green
429	47	6	2	0	square	blue
430	47	7	2	1	circle	blue
431	47	8	2	2	none	none
432	48	0	0	0	circle	blue
433	48	1	0	1	square	green
434	48	2	0	2	circle	green
435	48	3	1	0	circle	red
436	48	4	1	1	square	red
437	48	5	1	2	circle	green
438	48	6	2	0	square	red
439	48	7	2	1	square	blue
440	48	8	2	2	square	blue
441	49	0	0	0	triangle	blue
442	49	1	0	1	triangle	green
443	49	2	0	2	circle	blue
444	49	3	1	0	square	red
445	49	4	1	1	circle	green
446	49	5	1	2	circle	blue
447	49	6	2	0	square	red
448	49	7	2	1	none	none
449	49	8	2	2	triangle	blue
450	50	0	0	0	square	green
451	50	1	0	1	circle	green
452	50	2	0	2	square	blue
453	50	3	1	0	square	blue
454	50	4	1	1	square	blue
455	50	5	1	2	triangle	green
456	50	6	2	0	none	none
457	50	7	2	1	triangle	green
458	50	8	2	2	triangle	green
459	51	0	0	0	square	red
460	51	1	0	1	square	blue
461	51	2	0	2	triangle	green
462	51	3	1	0	square	green
463	51	4	1	1	none	none
464	51	5	1	2	circle	red
465	51	6	2	0	none	none
466	51	7	2	1	square	red
467	51	8	2	2	square	blue
468	52	0	0	0	square	green
469	52	1	0	1	square	red
470	52	2	0	2	triangle	red
471	52	3	1	0	none	none
472	52	4	1	1	circle	green
473	52	5	1	2	square	red
474	52	6	2	0	triangle	green
475	52	7	2	1	none	none
476	52	8	2	2	square	blue
477	53	0	0	0	square	green
478	53	1	0	1	square	green
479	53	2	0	2	circle	red
480	53	3	1	0	square	blue
481	53	4	1	1	circle	green
482	53	5	1	2	square	red
483	53	6	2	0	square	green
484	53	7	2	1	triangle	blue
485	53	8	2	2	none	none
486	54	0	0	0	triangle	red
487	54	1	0	1	square	blue
488	54	2	0	2	none	none
489	54	3	1	0	circle	blue
490	54	4	1	1	triangle	green
491	54	5	1	2	square	green
492	54	6	2	0	square	blue
493	54	7	2	1	square	red
494	54	8	2	2	square	blue
495	55	0	0	0	triangle	blue
496	55	1	0	1	none	none
497	55	2	0	2	none	none
498	55	3	1	0	triangle	green
499	55	4	1	1	square	blue
500	55	5	1	2	triangle	green
501	55	6	2	0	square	green
502	55	7	2	1	square	red
503	55	8	2	2	none	none
504	56	0	0	0	circle	blue
505	56	1	0	1	square	green
506	56	2	0	2	none	none
507	56	3	1	0	circle	blue
508	56	4	1	1	triangle	red
509	56	5	1	2	square	blue
510	56	6	2	0	circle	blue
511	56	7	2	1	square	green
512	56	8	2	2	square	green
513	57	0	0	0	square	red
514	57	1	0	1	none	none
515	57	2	0	2	circle	blue
516	57	3	1	0	square	blue
517	57	4	1	1	circle	blue
518	57	5	1	2	none	none
519	57	6	2	0	none	none
520	57	7	2	1	square	green
521	57	8	2	2	triangle	green
522	58	0	0	0	circle	red
523	58	1	0	1	triangle	blue
524	58	2	0	2	square	blue
525	58	3	1	0	square	blue
526	58	4	1	1	square	green
527	58	5	1	2	square	blue
528	58	6	2	0	none	none
529	58	7	2	1	square	blue
530	58	8	2	2	square	red
531	59	0	0	0	circle	green
532	59	1	0	1	circle	red
533	59	2	0	2	square	green
534	59	3	1	0	square	blue
535	59	4	1	1	circle	blue
536	59	5	1	2	square	blue
537	59	6	2	0	square	blue
538	59	7	2	1	square	green
539	59	8	2	2	square	green
540	60	0	0	0	square	blue
541	60	1	0	1	square	blue
542	60	2	0	2	square	green
543	60	3	1	0	none	none
544	60	4	1	1	triangle	green
545	60	5	1	2	square	red
546	60	6	2	0	square	red
547	60	7	2	1	square	blue
548	60	8	2	2	none	none
549	61	0	0	0	square	green
550	61	1	0	1	triangle	red
551	61	2	0	2	square	red
552	61	3	1	0	square	blue
553	61	4	1	1	square	blue
554	61	5	1	2	triangle	red
555	61	6	2	0	none	none
556	61	7	2	1	square	blue
557	61	8	2	2	square	green
558	62	0	0	0	none	none
559	62	1	0	1	triangle	blue
560	62	2	0	2	square	red
561	62	3	1	0	circle	green
562	62	4	1	1	square	red
563	62	5	1	2	triangle	green
564	62	6	2	0	triangle	red
565	62	7	2	1	square	blue
566	62	8	2	2	none	none
567	63	0	0	0	triangle	red
568	63	1	0	1	square	blue
569	63	2	0	2	square	blue
570	63	3	1	0	square	green
571	63	4	1	1	square	blue
572	63	5	1	2	none	none
573	63	6	2	0	square	blue
574	63	7	2	1	triangle	green
575	63	8	2	2	square	red
576	64	0	0	0	square	blue
577	64	1	0	1	none	none
578	64	2	0	2	square	blue
579	64	3	1	0	square	blue
580	64	4	1	1	square	red
581	64	5	1	2	square	blue
582	64	6	2	0	square	blue
583	64	7	2	1	square	red
584	64	8	2	2	triangle	green
585	65	0	0	0	square	red
586	65	1	0	1	circle	red
587	65	2	0	2	none	none
588	65	3	1	0	circle	red
589	65	4	1	1	square	red
590	65	5	1	2	square	blue
591	65	6	2	0	square	blue
592	65	7	2	1	square	green
593	65	8	2	2	square	red
594	66	0	0	0	square	red
595	66	1	0	1	circle	red
596	66	2	0	2	triangle	blue
597	66	3	1	0	square	blue
598	66	4	1	1	square	red
599	66	5	1	2	square	red
600	66	6	2	0	triangle	green
601	66	7	2	1	triangle	green
602	66	8	2	2	circle	red
603	67	0	0	0	none	none
604	67	1	0	1	square	blue
605	67	2	0	2	square	green
606	67	3	1	0	triangle	red
607	67	4	1	1	triangle	red
608	67	5	1	2	square	blue
609	67	6	2	0	square	green
610	67	7	2	1	square	blue
611	67	8	2	2	square	blue
612	68	0	0	0	circle	blue
613	68	1	0	1	square	blue
614	68	2	0	2	circle	green
615	68	3	1	0	square	red
616	68	4	1	1	circle	blue
617	68	5	1	2	square	green
618	68	6	2	0	triangle	blue
619	68	7	2	1	triangle	blue
620	68	8	2	2	none	none
621	69	0	0	0	square	red
622	69	1	0	1	square	blue
623	69	2	0	2	triangle	green
624	69	3	1	0	none	none
625	69	4	1	1	triangle	red
626	69	5	1	2	none	none
627	69	6	2	0	square	green
628	69	7	2	1	triangle	red
629	69	8	2	2	square	green
630	70	0	0	0	triangle	green
631	70	1	0	1	square	red
632	70	2	0	2	circle	green
633	70	3	1	0	square	red
634	70	4	1	1	triangle	blue
635	70	5	1	2	square	green
636	70	6	2	0	none	none
637	70	7	2	1	square	blue
638	70	8	2	2	square	green
639	71	0	0	0	triangle	blue
640	71	1	0	1	square	red
641	71	2	0	2	square	green
642	71	3	1	0	triangle	red
643	71	4	1	1	square	green
644	71	5	1	2	circle	red
645	71	6	2	0	square	blue
646	71	7	2	1	circle	blue
647	71	8	2	2	square	red
648	72	0	0	0	triangle	blue
649	72	1	0	1	square	blue
650	72	2	0	2	square	green
651	72	3	1	0	square	green
652	72	4	1	1	circle	green
653	72	5	1	2	square	red
654	72	6	2	0	square	blue
655	72	7	2	1	square	blue
656	72	8	2	2	none	none
657	73	0	0	0	square	blue
658	73	1	0	1	square	green
659	73	2	0	2	square	red
660	73	3	1	0	square	red
661	73	4	1	1	none	none
662	73	5	1	2	square	red
663	73	6	2	0	square	red
664	73	7	2	1	none	none
665	73	8	2	2	triangle	green
666	74	0	0	0	circle	blue
667	74	1	0	1	none	none
668	74	2	0	2	square	green
669	74	3	1	0	triangle	blue
670	74	4	1	1	square	red
671	74	5	1	2	square	red
672	74	6	2	0	circle	green
673	74	7	2	1	circle	blue
674	74	8	2	2	circle	red
675	75	0	0	0	none	none
676	75	1	0	1	circle	red
677	75	2	0	2	circle	blue
678	75	3	1	0	square	red
679	75	4	1	1	square	blue
680	75	5	1	2	triangle	blue
681	75	6	2	0	none	none
682	75	7	2	1	circle	green
683	75	8	2	2	none	none
684	76	0	0	0	triangle	red
685	76	1	0	1	none	none
686	76	2	0	2	square	green
687	76	3	1	0	square	blue
688	76	4	1	1	triangle	red
689	76	5	1	2	square	green
690	76	6	2	0	triangle	blue
691	76	7	2	1	square	green
692	76	8	2	2	square	red
693	77	0	0	0	triangle	green
694	77	1	0	1	circle	red
695	77	2	0	2	triangle	green
696	77	3	1	0	none	none
697	77	4	1	1	square	red
698	77	5	1	2	circle	green
699	77	6	2	0	circle	green
700	77	7	2	1	none	none
701	77	8	2	2	square	green
702	78	0	0	0	square	green
703	78	1	0	1	square	red
704	78	2	0	2	circle	red
705	78	3	1	0	square	red
706	78	4	1	1	square	blue
707	78	5	1	2	square	blue
708	78	6	2	0	triangle	green
709	78	7	2	1	square	red
710	78	8	2	2	square	green
711	79	0	0	0	circle	blue
712	79	1	0	1	square	red
713	79	2	0	2	square	green
714	79	3	1	0	circle	blue
715	79	4	1	1	triangle	green
716	79	5	1	2	none	none
717	79	6	2	0	none	none
718	79	7	2	1	square	blue
719	79	8	2	2	triangle	red
720	80	0	0	0	none	none
721	80	1	0	1	circle	red
722	80	2	0	2	triangle	green
723	80	3	1	0	triangle	blue
724	80	4	1	1	circle	blue
725	80	5	1	2	none	none
726	80	6	2	0	square	blue
727	80	7	2	1	triangle	red
728	80	8	2	2	square	green
729	81	0	0	0	circle	red
730	81	1	0	1	square	green
731	81	2	0	2	square	blue
732	81	3	1	0	none	none
733	81	4	1	1	square	green
734	81	5	1	2	square	blue
735	81	6	2	0	circle	blue
736	81	7	2	1	triangle	blue
737	81	8	2	2	square	green
738	82	0	0	0	none	none
739	82	1	0	1	square	blue
740	82	2	0	2	square	green
741	82	3	1	0	square	green
742	82	4	1	1	none	none
743	82	5	1	2	square	blue
744	82	6	2	0	square	blue
745	82	7	2	1	circle	red
746	82	8	2	2	none	none
747	83	0	0	0	square	green
748	83	1	0	1	square	green
749	83	2	0	2	square	green
750	83	3	1	0	square	green
751	83	4	1	1	square	red
752	83	5	1	2	square	blue
753	83	6	2	0	circle	red
754	83	7	2	1	none	none
755	83	8	2	2	triangle	red
756	84	0	0	0	triangle	red
757	84	1	0	1	square	green
758	84	2	0	2	circle	red
759	84	3	1	0	square	red
760	84	4	1	1	triangle	blue
761	84	5	1	2	square	red
762	84	6	2	0	none	none
763	84	7	2	1	square	blue
764	84	8	2	2	square	red
765	85	0	0	0	square	green
766	85	1	0	1	triangle	red
767	85	2	0	2	none	none
768	85	3	1	0	square	green
769	85	4	1	1	triangle	green
770	85	5	1	2	triangle	blue
771	85	6	2	0	circle	red
772	85	7	2	1	none	none
773	85	8	2	2	circle	blue
774	86	0	0	0	none	none
775	86	1	0	1	circle	red
776	86	2	0	2	square	blue
777	86	3	1	0	triangle	green
778	86	4	1	1	square	blue
779	86	5	1	2	square	red
780	86	6	2	0	triangle	green
781	86	7	2	1	square	green
782	86	8	2	2	square	blue
783	87	0	0	0	square	red
784	87	1	0	1	square	red
785	87	2	0	2	square	blue
786	87	3	1	0	square	green
787	87	4	1	1	square	red
788	87	5	1	2	square	red
789	87	6	2	0	square	red
790	87	7	2	1	square	green
791	87	8	2	2	square	blue
792	88	0	0	0	square	green
793	88	1	0	1	square	blue
794	88	2	0	2	none	none
795	88	3	1	0	triangle	green
796	88	4	1	1	square	green
797	88	5	1	2	triangle	blue
798	88	6	2	0	square	green
799	88	7	2	1	triangle	red
800	88	8	2	2	square	red
801	89	0	0	0	triangle	blue
802	89	1	0	1	circle	red
803	89	2	0	2	square	blue
804	89	3	1	0	triangle	blue
805	89	4	1	1	square	blue
806	89	5	1	2	none	none
807	89	6	2	0	triangle	red
808	89	7	2	1	circle	red
809	89	8	2	2	none	none
810	90	0	0	0	circle	blue
811	90	1	0	1	none	none
812	90	2	0	2	triangle	blue
813	90	3	1	0	circle	red
814	90	4	1	1	triangle	red
815	90	5	1	2	square	blue
816	90	6	2	0	circle	green
817	90	7	2	1	triangle	green
818	90	8	2	2	square	red
819	91	0	0	0	square	blue
820	91	1	0	1	square	blue
821	91	2	0	2	triangle	red
822	91	3	1	0	triangle	blue
823	91	4	1	1	square	red
824	91	5	1	2	triangle	green
825	91	6	2	0	triangle	red
826	91	7	2	1	square	red
827	91	8	2	2	square	blue
828	92	0	0	0	square	blue
829	92	1	0	1	square	green
830	92	2	0	2	square	blue
831	92	3	1	0	square	red
832	92	4	1	1	square	red
833	92	5	1	2	square	green
834	92	6	2	0	square	green
835	92	7	2	1	circle	blue
836	92	8	2	2	square	red
837	93	0	0	0	triangle	green
838	93	1	0	1	square	green
839	93	2	0	2	none	none
840	93	3	1	0	circle	blue
841	93	4	1	1	triangle	green
842	93	5	1	2	square	green
843	93	6	2	0	none	none
844	93	7	2	1	triangle	blue
845	93	8	2	2	triangle	red
846	94	0	0	0	square	red
847	94	1	0	1	none	none
848	94	2	0	2	square	green
849	94	3	1	0	none	none
850	94	4	1	1	triangle	green
851	94	5	1	2	square	blue
852	94	6	2	0	circle	blue
853	94	7	2	1	square	green
854	94	8	2	2	triangle	green
855	95	0	0	0	square	green
856	95	1	0	1	square	red
857	95	2	0	2	triangle	green
858	95	3	1	0	square	green
859	95	4	1	1	triangle	green
860	95	5	1	2	none	none
861	95	6	2	0	circle	blue
862	95	7	2	1	none	none
863	95	8	2	2	none	none
864	96	0	0	0	square	green
865	96	1	0	1	square	blue
866	96	2	0	2	circle	blue
867	96	3	1	0	square	green
868	96	4	1	1	none	none
869	96	5	1	2	square	green
870	96	6	2	0	none	none
871	96	7	2	1	square	blue
872	96	8	2	2	square	blue
873	97	0	0	0	circle	green
874	97	1	0	1	square	blue
875	97	2	0	2	none	none
876	97	3	1	0	none	none
877	97	4	1	1	square	blue
878	97	5	1	2	square	green
879	97	6	2	0	none	none
880	97	7	2	1	square	green
881	97	8	2	2	square	green
882	98	0	0	0	square	red
883	98	1	0	1	square	red
884	98	2	0	2	none	none
885	98	3	1	0	circle	red
886	98	4	1	1	none	none
887	98	5	1	2	triangle	blue
888	98	6	2	0	circle	blue
889	98	7	2	1	circle	red
890	98	8	2	2	circle	blue
891	99	0	0	0	square	green
892	99	1	0	1	square	blue
893	99	2	0	2	circle	blue
894	99	3	1	0	circle	red
895	99	4	1	1	none	none
896	99	5	1	2	triangle	red
897	99	6	2	0	circle	red
898	99	7	2	1	none	none
899	99	8	2	2	none	none
900	100	0	0	0	square	blue
901	100	1	0	1	square	red
902	100	2	0	2	triangle	green
903	100	3	1	0	triangle	red
904	100	4	1	1	square	red
905	100	5	1	2	circle	blue
906	100	6	2	0	circle	blue
907	100	7	2	1	square	green
908	100	8	2	2	square	blue
909	101	0	0	0	square	red
910	101	1	0	1	square	red
911	101	2	0	2	none	none
912	101	3	1	0	square	green
913	101	4	1	1	none	none
914	101	5	1	2	circle	green
915	101	6	2	0	square	blue
916	101	7	2	1	square	green
917	101	8	2	2	triangle	blue
918	102	0	0	0	square	red
919	102	1	0	1	square	blue
920	102	2	0	2	square	blue
921	102	3	1	0	circle	green
922	102	4	1	1	triangle	red
923	102	5	1	2	none	none
924	102	6	2	0	triangle	red
925	102	7	2	1	square	blue
926	102	8	2	2	circle	blue
927	103	0	0	0	triangle	blue
928	103	1	0	1	circle	red
929	103	2	0	2	none	none
930	103	3	1	0	square	blue
931	103	4	1	1	circle	green
932	103	5	1	2	square	green
933	103	6	2	0	square	blue
934	103	7	2	1	circle	red
935	103	8	2	2	square	blue
936	104	0	0	0	triangle	red
937	104	1	0	1	triangle	green
938	104	2	0	2	square	red
939	104	3	1	0	square	green
940	104	4	1	1	circle	red
941	104	5	1	2	square	green
942	104	6	2	0	square	green
